title,description,keywords,date,duration,views,n_lang,lang,speaker,speaker_job,speaker_about,n_comments
B.E.A.T. NYC performs at TED@StateStreet,"Bridging Education and Art Together (B.E.A.T.) transforms the lives of youth in under-served areas through music, dance and writing programs which include beatboxing, B-boying and B-girling (breakdance), music production and composition, and creative writing.","music, dance, writing",November 2015,480.0,0,0,, B.E.A.T. NYC,"Musicians, Dancers and Writers","Bridging Education and Art Together (B.E.A.T.) transforms the lives of youth in under-served areas through music, dance and writing programs which include beatboxing, B-boying and B-girling (breakdance), music production and composition, and creative writing.",
What if we traded employees like football players?,"What would happen if new companies hired, fired, and managed in the same way as football clubs? What if new employers ""bought"" their new hires, and paid old employers a fee, à la Cristiano Ronaldo? In this short talk, Yusuf contemplates the consequence of playing the old corporate game by new rules.","work, business, sports",November 2014,175.0,0,0,,Yusuf Nurbhai,Market renaissance man,"Yusuf Nurbhai is the Chief Administrative Officer for Global Markets in EMEA, responsible for administrative management and coordination of deliverables to global leaders. His career at State Street ranges from research to foreign exchange.",
How to give teachers an income they deserve,"What if the time invested by a teacher in a student's future delivered a dividend down the road? If more than just an apple on their desks, teachers benefited financially from the firms their former scholars were helping thrive, perhaps Apple itself? This talk offers a radical approach to education that celebrates the vital role of teachers in a thriving economy.","education, economics, teaching",November 2014,238.0,0,0,,Todd Gershkowitz,Teacher economist,"Todd Gershkowitz is the head of Global Total Rewards and Shared Services within Global Human Resources at State Street. He’s previously held senior positions at Citigroup, GE, IBM, UBS and with two consulting firms, and has spent about half of his career living and working internationally in Hong Kong, Singapore, the United Kingdom and Switzerland. His professional experiences have inspired his ideas for innovative ways to incentivize and reward employees.",
We don't need immigration caps. We need minimums,"Timothy Graf's experiences moving from America to England sparked some fresh ideas about immigration. Our exacting border policies often ignore the significant benefits delivered by the new perspectives of immigrants, fresh ideas that are vital for future success. He argues that smart countries should be lowering roadblocks and setting both caps and minimums when it comes to immigration.","immigration, success, policy",November 2014,512.0,0,0,,Timothy Graf,Behavorial finance analyst,"Timothy Graf leads State Street’s Global Markets’ Macro Strategy team in Europe. His research focuses on the dynamics and trends in developed world economies and the implications they have for global currency and interest rate markets. Incorporating the views built in this process with insights from the world of behavioural finance, he regularly consults with many of the world’s largest institutional investors.",
Lost in translation: The joy of a jargon-free world,"When was the last time you optimized something? Perhaps you've been engaging proactively? Are you strategically evolving a market in real-time? Any idea what any of that means? Thea Knight is on a crusade to kill the jargon that is strangling our conversations. She explains how we can be more ""intentional"" about our words - so we can start to actually say things again.","business, language, communication",November 2014,373.0,0,0,,Thea Knight,Office jargon crusader,"Thea Knight, a member of the State Street Internal Communications team, is out to eliminate jargon from the corporate consciousness and provide techniques we can use to make our conversations more productive. Formerly trained as a reporter, Knight is focused on simplifying the way we speak to each other.",
Investments in the future: A new approach to foreign aid,"Poor countries need support in order to advance, but there are limits to how much aid can be gifted. How can developed nations encourage long-term help on a grand scale? Financial economist Paul O'Connell proposes a radical approach: enlist private investors to take on the challenge of high-impact causes in developing countries, such as expanding vaccination access in Nigeria. The dividends will pay out on a global scale.","business, investment, global development",November 2014,756.0,0,0,,Paul O'Connell,Radical economist,"Paul O'Connell is president and partner of FDO Partners, LLC, an investment management and research firm currently managing US$2.3 billion. FDO is a joint venture partner with State Street Associates. A native of Ireland, O'Connell has a B.A. from Trinity College, Dublin, and a Ph.D. in Economics from Harvard University. He’s also written and published many articles on global finance and capital allocation topics. And he serves as a director of the GAVI Campaign, which works to expand access to immunization, and chairs its Board.",
A millennial's proposal for a happy multigenerational workplace,"The unique challenges of integrating millennials into the workplace have been well explored. But what about the other side of the coin? Gen Y'er Patrice Thompson explores the issue from the Gen Y perspective. She charts the differences between Gen X and Gen Y, and maps out a few ways that organizations can create environments where workers of all ages can collaborate and succeed.","work, society, success",November 2014,496.0,39446,0,,Patrice Thompson,Millenial liaison,"Patrice Thompson is a permanent member of the Request for Proposal EMEA team, whose aim is to create effective marketing documents that promote products and services for institutional clients. As a graduate from the London School of Economics with a B.Sc. in Government and Economics, Thompson completed three rotations in the Professional Development Program in Foreign Exchange Sales and Trading, Transition Management, and the Regulatory Reform Project Management Office.",
Not good with names: Local name customs in a global village,"When Ma Shwe Sin Win (Cynthia) received a LinkedIn request from her father, she ignored it – because she didn't realize it was from him. Forced into the Western first and last name format, her father's Burmese name transformed into something she didn't even recognize. In this playful talk, Ma Shwe Sin Win reflects on naming practices, and thinks about what happens locally when we enforce norms on a global scale.","society, work, culture",November 2014,393.0,28009,0,,Cynthia Ma Shwe Sin Win,Nameologist,"Since migrating from Singapore at the age of 10, Ma Shwe Sin Win (Cynthia) has noticed how much names impact on how we interact with one another. From school to boardroom, she has made it a point to reflect on what happens when we enforce norms each day. Win manages relationships of FX Connect and Currenex clients for State Street Global Exchange in South East Asia. She’s also a committee member with the Professional Women’s Network of State Street Singapore.",
The importance of good conversation – and how to have it,"The night before the Challenger exploded, NASA had a three-hour conference call with a company that knew the shuttle would fail. Why did NASA not abort the mission? John O'Leary explores what makes for an effective conversation. He lists three myths that can lead to destructive silence, and vital techniques to enable good conversation for groups everywhere.","communication, society, business",November 2014,818.0,29156,0,,John O'Leary,Conversation champion,"John O'Leary thinks that we don’t take our conversations in business seriously. Within his role as director of communications of State Street’s business transformation programs, he seeks to remove the barriers that prevent healthy conversation in business. O’Leary is also co-authour of the 2009 best-selling book, “If We Can Put a Man on the Moon” and his writings have appeared in The Wall Street Journal and The Washington Post, among others.",
The power of imagination: Lessons from Shakespeare,Shakespeare boasted an uncanny understanding of human nature. Might the Bard be a helpful workplace consultant with tips on navigating the plot twists and characters taking stage in the modern world? (Want to learn whom you can trust at work? Take a meeting with Othello. Need advice on creative problem solving? Check in with Hamlet.) John Bolton walks us through five lessons from the Bard that still resonate today.,"work, communication, business",November 2014,568.0,37462,0,,John Bolton,Shakespearean enthusiast,"Avid Shakespearean John Bolton manages State Street’s thought leadership global program. In his role, he helps the organization to engage with clients and influencers through insights and stories that are powerful and engaging.",
The power of self-acceptance,"Poets and doctors both save lives, just in different ways. World-champion slam poet Harry Baker shares the heartache of forfeiting the path of medicine for a self-guided career in poetry and writing. This talk is an ode to choosing to be different, woven through two poems that sing with universal truth. While he won't help the world by becoming a doctor, as he puts it, poetry is just ""a less quantifiable way of saving lives.""","poetry, medicine, writing",November 2014,776.0,129558,0,,Harry Baker,Poet physician,2012 World Poetry Slam Champion Harry Baker has travelled the world off the strength of his way with words. He combines the nerdiness of being a math student with the hopefulness of being a human.,
Selfies and seeing ourselves — one artist's look in the mirror,"Every day, we're surrounded by images of other people. Highly curated portfolios featuring the best snapshots of lives being lived. How does being bombarded with these images ultimately shape how we see ourselves? Artist Christina Balch wants to change the appearance we choose to celebrate, by taking a selfie every day at the ugliest possible time...morning.","social media, society, technology",November 2014,173.0,0,0,,Christina Balch,Technological artist,"Christina Balch is a multimedia artist inspired by feminism, technology and human perceptions. Trained in drawing and painting, her interests have shifted to commonly used technologies like smart phones and social media as new tools for creating art. Balch works as an interactive producer, managing mobile and interactive digital products.",
What I learned from 32 grueling interviews,"What's less fun than a job interview? Doing it again. And again. And again. Ashwini endured 32 interviews before she landed a job and kept notes on every experience and lesson along the way. Ranging from funny to unbelievable, she shares what she learned (lesson #3: don't wear green) and shows what it's like to search for work as an aspiring businesswoman in India.","women in business, work, interview",November 2014,483.0,79084,0,,Ashwini Mrinal Bhagat,Human dialogist,"Ashwini Mrinal Bhagat is a part of the Global Human Resources team for State Street India, specialising in talent management and employee relations. She believes in creating new platforms for learning and is passionate about employee engagement. She’s also an ardent writer and contributes to daily newspapers and blogs on topics related to current affairs and human resources.",
Restoring hope and dignity to the justice system,"You can learn a lot about the character of a country by its jails. Alexander McLean tells of the subhuman treatment he witnessed in African prisons—conditions so brutal that he founded a distance-learning organization that empowers prisoners to fight for their own rights. But the larger question he asks relates not just to Africa: ""If as a society we say that someone who has stolen will always be a thief, what skills and gifts and talents do we miss out on?""","prison, Africa, society",November 2014,704.0,0,0,,Alexander McLean,Prison anthropologist,"Alexander McLean studied law at Nottingham University and went on to do an LLM with the University of London. He was called to the Bar in 2010 as a Lord Mansfield and Hardwicke Scholar at Lincoln’s Inn, London. McLean founded the African Prisons Project, which develops education programmes in prisons in Africa.",
My ghost town road trip,"Explorer and artist Abbey Williams has focused her lens on an eclectic collection of ghost towns that litter the American landscape. With a portfolio of haunting images, Williams contemplates the transitory nature of the places we inhabit, ultimately asking: what do these abandoned cityscapes reveal to us about our modern cities and towns?","cities, exploration, art",November 2014,338.0,0,0,,Abbey Williams,Ghost town sojourner,"No one knows a good ghost town than Abbey Williams. As those once bustling towns continue to litter the American landscape with its skeletal-like structures, Williams can’t help but wonder what’s to become of our habitats. After interning at State Street Global Advisors for two summers, Williams returned to provide administrative support to the Institutional Client Group’s Mid-Atlantic Relationship Management team.",
Economics and art,"What lessons can economics learn from art? Megan Wilkens examines how, historically, trends in the art world have offered a prescient window into wide-ranging socio-economic shifts in society. If economists look closely at art, they might be privy to unexpected changes in cultural behavior.","economics, art, society",November 2013,416.0,0,0,,Megan Wilkens,Economics innovator,"Megan Wilkens is a graduate from Providence College and the London School of Economics with an education in economics and art history. As an associate at State Street, Wilkens seeks to prove the connection economics and art and find creatively efficient, elegant and analytical solutions.",
Democratizing investing,"In 2013, the largest experiment in crowd-sourced investing happened in Australia, as everyday citizens took the reins on investing the country's pension fund. Nathan Ide explores how certain cultural characteristics of Australians have inspired this groundbreaking model for managing pensions.","crowdsourcing, investment, finance",November 2013,345.0,0,0,,Nathan Ide,Investment champion,"Nathan Ide is an intermediary sales manager who is passionate about empowered investing and is known for his ability to inspire all investors to take an active interest in investing. At SPDR ETFs Australia, he is responsible for sales and business development to private banks, stock brokers and independent financial advisors. Having studied economics, finance and philosophy, Ide has a Bachelor of Commerce from the University of Sydney.",
Bring out your inner filmmaker,"Video is ubiquitous. Companies use it for entertainment, marketing, training – and customers generally expect it. Mark Halliday describes ""Studio in a Box,"" a program he put together which allows State Street employees to make professional-quality videos of their own.","productivity, technology, film",November 2013,392.0,0,0,,Mark Halliday,Filmmaker,"As director of multimedia experience in the SSgA Global Product and Marketing group, Mark Halliday is responsible for SSgA’s video marketing efforts, from production to technology. With experiences that inform his passion for innovative story telling with digital video, Halliday also works as a surveillance cinematographer in New York City, while writing and directing a feature film and coding movies at the MIT Media Lab that edit themselves on-the-fly.",
The upside of data,"Jessica Donohue examines what she's learned from her career working with data, how old industry lessons still apply as we enter the era of Big Data, and why passion still (and always) matters when it comes to data analysis.","data, technology, finance",November 2013,731.0,0,0,,Jessica Donohue,Data analyst,"Jessica Donohue directs an innovative partnership that unites financial theory and practice as a senior vice president and head of the research and advisory business at State Street Global Exchange. She and her team capitalize on their exclusive blend of academic and industry knowledge to provide solutions that enhance returns, control risk, optimize performance, manage liquidity, and monitor market conditions. Donohue’s published research on investor behavior provides the foundation for some of State Street’s proprietary indicators.",
Crowd-sourced investing,"Making the case for collective intelligence, Hu Liang offers a case study of an investment program that incorporated social media crowd-sourcing and produced dramatically improved performance over typical trading systems.","crowdsourcing, investment, business",November 2013,540.0,0,0,,Hu Liang,Crowd source investor,"Hu Liang is responsible for all business and product strategies and management of the State Street Global Exchange business in Asia Pacific, which focuses on delivering front office data, analytics and trading solutions. Prior to joining State Street through the Currenex acquisition, he was a consultant and researcher. He founded a technology startup in Silicon Valley at the epicenter of the social revolution.",
Cultural clashes in defining beauty,"Delali Bright shares her personal story of how growing up in West Africa, she was bullied and marginalized for being skinny. Her family worried about her, put her on diets, and found her embarrassing and shameful. Then, she moved to the U.S. in her 30s, where she was suddenly seen as beautiful! Through her story, Delali illuminates the importance of creating your own self image.","culture, women in business, beauty",November 2013,242.0,0,0,,Delali Bright,Self-image activist,"Delali Bright is a fund accountant at State Street. Her research focuses on how leadership styles play an important role in political upheaval. She graduated from California State University, Chico with a double major in project management and accounting. Bright is also a certified SAP associate and led a project to convert SAP ERP Financial case studies from IDES to GBI dataset, to support SAP curriculum progress at her university.",
Making a difference in the world,"Alison Quirk tells the personal story of taking in a teenager from Nigeria who was recruited to play basketball at her daughter's high school. Through midnight phone calls, hospital visits, and important milestones, Alison explores the wonderful messiness of families – and how to leave a mark on the world.","Africa, youth, family",November 2013,935.0,0,0,,Alison Quirk,Citizenship officer,"Alison Quirk is State Street’s chief human resources and citizenship officer. She is the driving force in the development of State Street’s culture -- ensuring that employees globally feel engaged, valued and committed to its markets and clients. Quirk presents on topics related to career management, inclusion and diversity, and talent management, and she is a frequent contributor to The Huffington Post.",
You are fluent in this language (and don't even know it),"Without realizing it, we're fluent in the language of pictures, says illustrator Christoph Niemann. In a charming talk packed with witty, whimsical drawings, Niemann takes us on a hilarious visual tour that shows how artists tap into our emotions and minds — all without words.","art, creativity, design, culture, empathy, humor, beauty, communication, humanity",April 2018,762.0,2055752,26,en | tr | nl | pt | fa | lt | fr | hi | ro | ar | hu | pt-BR | he | ru | es | it | zh-Hant | zh-Hans | ko | sr | sv | de | ja | gl | pl | my,Christoph Niemann,"Illustrator, artist, author","With charm and incisive wit, Christoph Niemann sketches the moments of our shared experience.",35
You may be accidentally investing in cigarette companies,"Tobacco causes more than seven million deaths every year — and many of us are far more complicit in the problem than we realize. In a bold talk, oncologist Dr. Bronwyn King tells the story of how she uncovered the deep ties between the tobacco industry and the entire global finance sector, which invests our money in cigarette companies through big banks, insurers and pension funds. Learn how Dr. King has ignited a worldwide movement to create tobacco-free investments and how each of us can play a role in ending this epidemic.","health, finance, investment, global issues, cancer, economics, money, health care, public health, social change, TEDx",June 2017,878.0,1421644,10,en | zh-Hans | zh-Hant | es | pt-BR | sw | ru | tr | fr | pt,Bronwyn King,"Oncologist, tobacco-free advocate","Dr. Bronwyn King on a mission to save a billion lives -- from tobacco, the greatest preventable cause of premature death.",49
The breathtaking courage of Harriet Tubman,Escaping slavery; risking everything to save her family; leading a military raid; championing the cause of women's suffrage; these are just a handful of the accomplishments of one of America's most courageous heroes. Janell Hobson details Harriet Tubman's many fights for freedom. [TED-Ed Animation by Yan Dan Wong],"TED-Ed, Slavery, women",July 2018,278.0,265310,16,en | fa | zh-Hant | es | fr | pt | hr | ko | sl | pt-BR | sr | vi | ar | tr | ja | ru,Janell Hobson,Educator,,
Fake videos of real people — and how to spot them,"Do you think you're good at spotting fake videos, where famous people say things they've never said in real life? See how they're made in this astonishing talk and tech demo. Computer scientist Supasorn Suwajanakorn shows how, as a grad student, he used AI and 3D modeling to create photorealistic fake videos of people synced to audio. Learn more about both the ethical implications and the creative possibilities of this tech — and the steps being taken to fight against its misuse.","AI, machine learning, technology, invention, future, media, politics, history, software, computers",April 2018,435.0,969167,24,en | pt-BR | zh-Hant | tr | th | ja | my | ar | mr | ko | fa | nl | zh-Hans | es | ro | hu | it | pt | el | fr | hy | ru | lt | sq,Supasorn Suwajanakorn,Computer scientist,"Supasorn Suwajanakorn works on ways to reconstruct, preserve and reanimate anyone -- just from their existing photos and videos.",42
How to stop swiping and find your person on dating apps,"Let's face it, online dating can suck. So many potential people, so much time wasted — is it even worth it? Podcaster and entrepreneur Christina Wallace thinks so, if you do it right. In a funny, practical talk, Wallace shares how she used her MBA skill set to invent a ""zero date"" approach and get off swipe-based apps — and how you can, too.","love, relationships, life, personal growth, identity",April 2018,319.0,1731665,20,en | pt | tr | hu | fa | my | fr | es | zh-Hans | he | pt-BR | ar | th | ru | zh-Hant | vi | sr | ko | ja | id,Christina Wallace,"Entrepreneur, podcaster, storyteller","A self-described ""human Venn diagram,"" Christina Wallace has crafted a career at the intersection of business, the arts and technology.",36
Home is where the art is,"Artist Ian Strange turns decrepit suburban homes into art. Using paint and chainsaws, photography and film, he interrogates our concept of home and the narratives we build around it. In this talk, Strange discusses the creative and personal impulses behind his work, and invites us to challenge our own relationships with the places we call home. ","art, community, design, photography, architecture",June 2018,0,0,0,,Ian Strange,Ian Strange,"Ian Strange's photographs and videos challenge the idea of the family home as a place of warmth and safety, by simultaneously elevating and destroying it both literally and figuratively. This multidisciplinary artist's work explores photography, sculpture, installation, site-specific intervention, film, documentary work and exhibition, alongside broader themes of disenfranchisement within the urban environment.",
How AI is making it easier to diagnose disease,"Today's AI algorithms require tens of thousands of expensive medical images to detect a patient's disease. What if we could drastically reduce the amount of data needed to train an AI, making diagnoses low-cost and more effective? TED Fellow Pratik Shah is working on a clever system to do just that. Using an unorthodox AI approach, Shah has developed a technology that requires as few as 50 images to develop a working algorithm — and can even use photos taken on doctors' cell phones to provide a diagnosis. Learn more about how this new way to analyze medical information could lead to earlier detection of life-threatening illnesses and bring AI-assisted diagnosis to more health care settings worldwide.","medicine, TED Fellows, AI, technology, medical imaging, future, cancer, health care, innovation, illness, machine learning, science, medical research, health",August 2017,299.0,1255745,19,en | fa | pt-BR | zh-Hans | my | fr | zh-Hant | ro | gl | ar | he | ko | es | pt | ru | tr | hu | cs | ku,Pratik Shah,Medical technologist,"Dr. Pratik Shah creates novel intersections between engineering, medical imaging, machine learning and medicine.",15
Why doctors are offering free tax prep in their waiting rooms,"More than 90 percent of children in the US see a doctor at least once a year, which means countless hours spent in waiting rooms for parents. What if those hours could be used for something productive — like saving money? Through her organization StreetCred, pediatrician and TED Fellow Lucy Marcil is offering free tax prep to parents right in the waiting room, reimagining what a doctor's visit can look like and helping to lift families out of poverty. Learn more about how free tax prep and guidance could be the best poverty prescription we have in the US.","TED Fellows, medicine, health care, children, finance, social change, family, parenting, health",April 2018,296.0,1127907,22,en | pt-BR | fa | my | es | sq | pt | ru | zh-Hans | zh-Hant | pl | ja | tr | it | th | he | ar | hu | vi | ta | ko | fr,Lucy Marcil,"Pediatrician, social entrepreneur",Lucy Marcil is providing fiscal services to low-income families in the doctor’s waiting room.,18
How to train employees to have difficult conversations,"It's time to invest in face-to-face training that empowers employees to have difficult conversations, says Tamekia MizLadi Smith. In a witty, provocative talk, Smith shares a workplace training program called ""I'm G.R.A.C.E.D."" that will inspire bosses and employees alike to communicate with compassion and respect. Bottom line: always let people know why their work matters.","communication, compassion, identity, data, race, teaching, social change, work",April 2018,490.0,1682941,16,en | es | he | fr | zh-Hant | pt-BR | ru | de | ko | ar | pt | zh-Hans | nl | sl | tr | fa,Tamekia MizLadi Smith,"Performer, mentor",Tamekia MizLadi Smith wants to start new conversations around involving non-clinical staff in healthcare.,43
"""Dead Romance""","Acoustic duo Anielle Reid and Matthew Brookshire (playing together as Boy Girl Banjo) take the TED stage to perform their original song ""Dead Romance,"" weaving together the sounds of Americana folk music and modern pop.","music, live music, guitar, performance art, performance, vocals",November 2017,222.0,275182,23,en | fa | es | my | pt-BR | ro | sw | ar | hi | zh-Hans | el | tr | it | de | ru | zh-Hant | fr | th | ko | pt | ta | nl | sk,Boy Girl Banjo,"Songwriter, performer",Anielle Reid is an American singer-songwriter and banjoist.,5
How abstract mathematics can help us understand the world,"Most people think of pure mathematics as a medium for ivory-tower abstraction, divorced from real-world applications. Mathematician Eugenia Cheng disagrees. In this talk, she demonstrates how numbers and mathematical structures can be used to shift perspectives, switch contexts and help us understand our fellow human beings in new and logical ways. ","Science (hard), empathy, education, inclusion, society",July 2018,0,0,0,,Eugenia Cheng,"Mathematician, concert pianist and scientist in residence","Dr Eugenia Cheng is a mathematician and concert pianist. She is Scientist in Residence at the School of the Art Institute of Chicago and won tenure at the University of Sheffield, UK, where she is now Honorary Fellow. She has a PhD in pure mathematics from the University of Cambridge. Alongside her research in Category Theory and undergraduate teaching her aim is to rid the world of ‘maths phobia’. Eugenia was an early pioneer of mathematics on YouTube and her videos have been viewed over 10 million times. Her first popular maths book, How to Bake Pi, was featured on the Late Show with Stephen Colbert, and Beyond Infinity was shortlisted for the Royal Society Science Book Prize 2017. She writes the Everyday Math column for the Wall Street Journal, and recently completely her first mathematical art commission. Her next book, The Art of Logic, is out in 2018.",
A day in the life of an ancient Egyptian doctor,"It's another sweltering morning in Memphis, Egypt. As the sunlight brightens the Nile, Peseshet checks her supplies. Honey, garlic, cumin, acacia leaves, cedar oil — she's well stocked with the essentials she needs to treat her patients. Elizabeth Cox outlines a day in the life of an ancient Egyptian doctor. [TED-Ed Animation by Echo Bridge]","TED-Ed, medicine, ancient world, storytelling, history, disease",July 2018,270.0,2061287,22,en | fr | es | pt | fa | zh-Hans | ar | tr | vi | hr | zh-Hant | hu | pt-BR | sl | pl | sq | ru | ko | sr | el | th | ro,Elizabeth Cox,Educator,,
Where are all the aliens?,"The universe is incredibly old, astoundingly vast and populated by trillions of planets — so where are all the aliens? Astronomer Stephen Webb has an explanation: we're alone in the universe. In a mind-expanding talk, he spells out the remarkable barriers a planet would need to clear in order to host an extraterrestrial civilization — and makes a case for the beauty of our potential cosmic loneliness. ""The silence of the universe is shouting, 'We're the creatures who got lucky,'"" Webb says.","astronomy, cosmos, universe, science, space, physics, time, exploration, Planets",April 2018,798.0,3365645,18,en | tr | he | zh-Hant | sr | pt | es | fr | nl | pt-BR | it | ko | hu | zh-Hans | ru | de | el | sl,Stephen Webb,"Writer, scientist",Stephen Webb is a science fiction fan who's passionately interested in what the future might hold for our species.,172
El impacto del marketing en los medicamentos que tomamos,¿Cómo impacta el marketing en los medicamentos que nos receta nuestro médico? Pablo Santa Cruz describe los incentivos muchas veces inconcientes de los doctores y nos sugiere cómo conversar con nuestros médicos para mejorar el cuidado de nuestra salud.​,TED en Español,November 2013,0,19917,0,,Pablo Santa Cruz,Médico,"Pablo Santa Cruz, Médico Cirujano de la Universidad de Los Andes y Psiquiatra del Instituto Psiquiátrico Dr. José Horwitz Barak, es co-fundador de Médicos Sin Marca, ONG que busca promover un ejercicio clínico responsable, basado en evidencia y libre de las influencias de la propaganda y los incentivos provenientes de la industria farmacéutica, de dispositivos médicos y de alimentos, con el fin de entregar una atención transparente e independiente a los pacientes.",
Fracaso tras fracaso,"La forma en que manejamos la adversidad en nuestras vidas tiene un fuerte impacto en qué podemos lograr y cómo vivimos el camino. Karla Souza, actriz mexicana, comparte su filosofía del manejo de la adversidad y algunas historias que le contaba su padre.","TED en Español, family, storytelling, life",March 2015,0,3675498,0,,Karla Souza,Actriz,"Una de las mexicanas más creativas del mundo según Forbes Magazine, Karla es actriz de carácter global, convencida de que son las historias las que cautivan al espectador. Fue la Actriz Revelación del Año y ganó el Premio Canacine como Mejor Actriz por su interpretación de Babi Noble en la película mexicana “Nosotros los Nobles”. Actualmente trabaja en la serie norteamericana “How to get away with murder”.",
Reescribe el cuento de tu vida,"Desde chiquitos, todos escribimos un cuento: nuestro cuento, el cuento de nuestra vida. Lucas Raspall, médico psiquiatra, nos invita a cuestionar y reescribir nuestros propios cuentos.  ","TED en Español, self, mental health, storytelling, psychology",November 2016,0,37540,0,,Lucas Raspall,Psiquiatra,"A veces es médico, otras veces psiquiatra. Muchas veces es psicoterapeuta o acupuntor. Con mucho descaro es músico, pintor y, por qué no, escritor. Es estudiante, profesor universitario y de posgrados, conferencista y divulgador. Es un espectador privilegiado de su propia mente e investigador incansable de sus laberintos. Es experto en nada y confeso principiante en todo. Es hijo, hermano y padre, por esto, es niño y adulto. Es marido de la mujer que ama y novio eterno de la vida. En definitiva, es una persona: nada más.",
La verdad es mentira,"Después de recorrer el camino en búsqueda de nuestra identidad y encontrarla, nos podemos dar cuenta de que se transforma en una prisión. Daniel Molina nos muestra con humor e ironía cómo la interpretación que hacemos de la realidad moldea nuestro mundo interno y toda la sociedad.","TED en Español, identity, self, society",September 2015,0,137279,0,,Daniel Molina,Profesor,"Allí donde se mezclan las nuevas tendencias, el arte, la literatura, la vida cotidiana y la sociedad, está Dani, con sus escritos, sus artículos sobre cultura, sus programas de tele. Pasó por todos lados: El Porteño, Crisis, Fin de Siglo, Página/12, El Cronista, Clarín, La Nación, Perfil… y siguen las columnas. Desde el Centro Cultural Ricardo Rojas (UBA) nos viene abriendo la cabeza desde hace años. Charlar con Dani, o asistir a sus cursos, es un viaje que nunca sabemos dónde nos lleva.",
La importancia de la improvisación,"""Como educadores, tenemos el deber de soñar y crear espacios donde todo el mundo tenga la oportunidad de sacar lo mejor de sí mismo."" Por eso a Juan López-Aranguren le encanta la basura; después de todo, la basura de un hombre puede ser la inspiración de otro. En esta divertida charla, López-Aranguren comparte cuentos de construcción improvisada e instalaciones de arte espontáneas, todo montado con el fin de encender la chispa de la creatividad.","TED en Español, education, creativity, design, art",September 2015,0,12465,0,,Juan López-Aranguren,Arquitecto,"Educador. Juan López-Aranguren se licenció en arquitectura por la Escuela Técnica Superior de Madrid, aunque tardó 14 años en acabar la carrera. Esos 14 años, asegura haberlos invertido bien. Ha recorrido el mundo con amigos llevando a cabo proyectos de difícil catalogación y que han sido objeto de estudio desde ámbitos tan dispares como la arquitectura o la antropología y que cuentan entre sus socios a instituciones como el colegio IDEO, la asociación de vecinos de Villaverde Alto, el CSIC, el Ministerio de Medioambiente y el Guggenheim de Nueva york. El resultado de esta prolífica década se conoce como Basurama. Organización de la que Juan es miembro fundador. Desde ella ha liderado programas como Autobarrios, Imaginar Patio, Residuos Urbanos Sólidos o In love We Trash, premiados y publicados tanto a nivel nacional como internacional.",
Humanizar los cuidados intensivos,Las unidades de cuidados intensivos (UCI) de los hospitales salvan muchas vidas. Pero ¿cuál es la secuela emocional en los pacientes? Gabriel Heras describe el dolor emocional de los pacientes y de sus personas cercanas al pasar por la UCI y describe su proyecto para humanizar los cuidados intensivos.,"TED en Español, health, health care, emotions, medicine",September 2015,0,85175,0,,Gabriel Heras,Médico,"Gabriel es médico especialista en Medicina Intensiva y el creador e impulsor del proyecto HU-CI, Humanizando los cuidados intensivos, una nueva forma de entender el cuidado de los pacientes críticos que está transformando la Sanidad. Recibió el año pasado el Premio por esta iniciativa a la Mejor Idea de la Sanidad 2014 en la Iniciativa Legal, Ética y Deontológica, organizado por el periódico especializado Diario Médico. Además con su necesidad de compartir y crear colectivamente, unido a su vertiente bloguera, pone en marcha el blog www.humanizandoloscuidadosintensivos.com, creando en muy poco tiempo un espacio abierto y punto de encuentro para todos los profesionales, pacientes y familiares comprometidos con esta tarea y se convierte en un megáfono de esa nueva aproximación.",
Las palabras de la discriminación,"Carmen Jiménez Borja muestra cómo las palabras que usamos pueden ser la causa de mucha discriminación y prejuicios y comparte las acciones que está llevando a cabo, como mujer gitana, para luchar contra los muros de rechazo. ​","TED en Español, language, education",September 2017,0,0,0,,Carmen Jiménez Borja,Jurista y Activista social,"Comprometida con la igualdad de oportunidad y las posibilidades que el Derecho ofrece para que esta sea efectiva, Carmen trabaja en la Fundación Secretariado Gitano como técnica de igualdad, para lograr que mujeres de etnia gitana, como ella, puedan lograr el empoderamiento y luchar contra las desigualdades de género que existen dentro y fuera de su comunidad. Alta sensibilidad hacia las problemáticas sociales, destacando las situaciones de discriminación y derecho a la igualdad de trato. Actualmente, estudia el master de Acceso a la abogacía en la Universidad de Valladolid para defender ante los tribunales las injusticias discriminatorias existentes en la sociedad. Se muestra como una soñadora incansable, lucha en su día a día por promover una sociedad inclusiva e intercultural. Su mejor arma: su propia experiencia y trayectoria, capaz de contrarrestar los estereotipos negativos a los que su comunidad se enfrenta. Y su voz, un misil de motivación para otras mujeres gitanas que deseen seguir su camino.",
Nuestras mentiras en la vida y en los negocios,Néstor Guerra comparte las mentiras que solemos hacernos a nosotros mismos a la hora de emprender un nuevo negocio y describe tres de los principales sesgos que nos llevan al fracaso. Sin embargo también argumenta que muchas veces las mentiras son necesarias en la vida,"TED en Español, trust, entrepreneur, business, work",May 2017,0,0,0,,Néstor Guerra,Emprendedor,"Actualmente es CEO y cofundador de IEC, startup dedicada al desarrollo de soluciones para smart cities. Compatibiliza esta función con la de profesor de Business Design & Lean Startup en la Escuela de Organización Industrial EOI en Postgrados, MBAs y in-Company. También es Profesor de Innovación y Lean Startup a h2i Institute.",
